,timestamp,token_qty_values,tx_address,from_address,to_address,new_date,new_time
0,2018-06-08 01:09:41,10000.0,0x3bfb1cacbbefd91183a845b4c056f4f5d43b5d7adc9edd949f053e443b4863e9,0xc9471a579cf8d96fbfb53a317cc458440abb882e,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,2018-06-08,01:09:41
1,2018-06-08 03:18:52,1022.0,0x70192bc2b5f3434c2737f24211a6ae5c78a532f1b1da4b6541b1039dded43d66,0x5bae95ddc85e6aeb70e3be4d92fd8e43f7ff9e93,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,2018-06-08,03:18:52
2,2018-06-08 05:14:42,2222.0,0x8ea501980896fa39bf86eefd18c686df464dc94fbbbf7acbe1fb2c7704f581e1,0x9a2d163ab40f88c625fd475e807bbc3556566f80,0x9ccb7c316f881972d342d296a9624da5ae51465a,2018-06-08,05:14:42
3,2018-06-08 06:31:43,201851.0,0xbad21e121222644fcb19768b9ad6a2e0c4165f5fd9eb95ddbf7cc8d628698c91,0xe9fc19bb8436f7f3002d1cdc2f06505a5e8446cc,0x7af172fc15896cdc5ac9dc80e84459e078d970ab,2018-06-08,06:31:43
4,2018-06-08 06:51:05,201851.0,0xe120828cd60ee2a5904a97822188b5cede80074cd5e5ee074ad96503d7bb1bab,0x7af172fc15896cdc5ac9dc80e84459e078d970ab,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,2018-06-08,06:51:05
5,2018-06-08 06:54:35,75.0,0xd7e8e02cbb68c444723c64eeae394d7759f177a4c2eecbfd8258dd7c6f2bce55,0xc06bf762bc60ca9518669897348c6d694e453678,0x1f597c1cc90e90846f3685643f0721fd427c180b,2018-06-08,06:54:35
6,2018-06-08 07:38:24,2992.0,0xc55149378f69bfa8964595c17d60c3965fae996f897bab75333e369bb9034d74,0x786f25bd6ee7ba7fcf1fdae65b6744b00205b4b8,0x9f3fd4c21358658939d834b2e29b2288d352e728,2018-06-08,07:38:24
7,2018-06-08 08:06:35,75.0,0x0520aed4934a860dd5b87283591f0392b2771f0aa12597377c6a9da1a18cbd17,0x1f597c1cc90e90846f3685643f0721fd427c180b,0xc06bf762bc60ca9518669897348c6d694e453678,2018-06-08,08:06:35
8,2018-06-08 10:44:04,2300.0,0xe1afe0ad90e121f218305f8418a47feb3aa6ed9ddec97a804ee26196d0b48962,0x9fcde5e8748573b43cac230e94c84fda60661aee,0x722447309e2e9ce12b369b4ff31140559ccfdca4,2018-06-08,10:44:04
9,2018-06-08 11:01:23,9804.0,0x00c44e45c8feb671c8da29f99655967a25a6664a4dc2588a49ced75acf974905,0x564286362092d8e7936f0549571a803b203aaced,0xbfa1a8a7dc49e6816be31bb0ff0e7f1ac29b7e72,2018-06-08,11:01:23
10,2018-06-08 11:09:43,9804.0,0x5a2f85a00aaa7f3bc9cde963992ed81ce89baddb127d4e70c0b7e85953319a75,0xbfa1a8a7dc49e6816be31bb0ff0e7f1ac29b7e72,0x9a2d163ab40f88c625fd475e807bbc3556566f80,2018-06-08,11:09:43
11,2018-06-08 14:36:11,3735.0,0x9974580a318168f9e24bab85389a0ae443eed5623cf6ed1cb41ed5060d84cbf8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x3b571234b1063ed98a9c1ab97b329ad2655b97de,2018-06-08,14:36:11
12,2018-06-08 14:39:19,3735.0,0x3602dc91be367b89ca8cac3125aed95fb6664d930780690603e3ef0ab4882117,0x3b571234b1063ed98a9c1ab97b329ad2655b97de,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,2018-06-08,14:39:19
13,2018-06-08 16:14:21,60.0,0xd94a8049655cb036472a66e73ba5ce8aa33a574469c1a4a5298f8585b1491d41,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd93bef0c1d5841d68f0c5f4bbca85cf0781e4635,2018-06-08,16:14:21
14,2018-06-08 17:14:49,96.0,0x2438a64ee74ec157c60e1a87552963ad52afd4d1613c918bfccc69c058d475f4,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xfdb213b7f8e0b18efbae61915483ba1a42e1d543,2018-06-08,17:14:49
15,2018-06-08 17:16:30,15854.0,0x5809181cbb8d70cb0edd26e15b66e5e069e048feca6662dd4331503e61a1025d,0x564286362092d8e7936f0549571a803b203aaced,0x9069391ba93f844e2d3fc42888c1581b965b851b,2018-06-08,17:16:30
16,2018-06-08 17:18:43,15854.0,0x00da060147350146844b1e2297a3de00a617042ab60d36525bbf0c52fee41e03,0x9069391ba93f844e2d3fc42888c1581b965b851b,0x930aa9a843266bdb02847168d571e7913907dd84,2018-06-08,17:18:43
17,2018-06-08 19:26:17,11637.0,0x0497ec0bde509921cb262a0a3e75e03d9a7944e32e00e4c972164b97b8c36322,0x2a825f2cd5eed764e828305683f41865968fad66,0x0d65cc326cd6294053cf508fc38bb8ed0223a0bb,2018-06-08,19:26:17
18,2018-06-08 19:29:21,11637.0,0x9c1acec5442061cb4e5ef7b912a261d698b4e7367084d0625cb2e32fc5316020,0x0d65cc326cd6294053cf508fc38bb8ed0223a0bb,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,2018-06-08,19:29:21
19,2018-06-08 20:36:47,29980.0,0xd1662fdad5cf3f50791a5f79476fdd2d8ee0141911794b6aa32622ed3185eba1,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0x92cef736ebce68bef5c149e8b3e2c3919eeba593,2018-06-08,20:36:47
20,2018-06-08 20:39:15,29980.0,0x688c712dbbb98b8d1d7cfd2b26a491a06afd262e2a3ab39815779690a6d1a4d2,0x92cef736ebce68bef5c149e8b3e2c3919eeba593,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,2018-06-08,20:39:15
21,2018-06-09 01:08:16,200.0,0x6a0aef6128963ac423f731c2db0a370cfcc14fd5f15d98dd373e04783d3cc740,0x9a2d163ab40f88c625fd475e807bbc3556566f80,0x55b6c6ee5ae3d81957b39f1ff7c8efed39eff6bd,2018-06-09,01:08:16
22,2018-06-09 01:16:09,1116.0,0x9cfbc8d912efd6a05035db61b8ac01175802cce8b13f444750be28748f85bf0f,0x9fd3ff1d1a0d0dc8f7172f46fd9aaacc635c93be,0x2385e4256aada800b2345e993e442bfdfb09dd81,2018-06-09,01:16:09
23,2018-06-09 03:03:02,771.0,0xedb9a9549ea8c9a50c6a616c25464b79f398e8052af0477babedc85d492364ea,0x54fcc5b7454229423757a3ed1ab7ade2cd14e865,0x795da92f913a27a9ff13a17d1a1c7c6a50db774d,2018-06-09,03:03:02
24,2018-06-09 08:22:01,1338.0,0x1e549bf6614ed33c1597ed61ed387f4ae1795121921eaba821ec61648867149a,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x98312ec67a9dad01b6bbde72238b61a7c63ecf13,2018-06-09,08:22:01
